Trade #,Type,Signal,Date/Time,Profit USD,Cumulative,Drawdown,Win Rate,Risk/Reward
#1,Short,MomLE,"Jan 15, 09:30 AM",-382,1227630.5,382,Loss,1.0:5.1
#2,Long,MomLE,"Jan 15, 11:45 AM",543,1228173.5,81.5,Win,1.0:2.0
#3,Long,MomLE,"Jan 16, 02:20 PM",543,1228173.5,81.5,Win,1.0:2.0
#4,Short,MomLE,"Jan 16, 03:30 PM",-63.5,1228110,138,Loss,1.0:1.5
#5,Short,MomLE,"Jan 17, 10:15 AM",-63.5,4760,138,Loss,1.0:1.5
#6,Long,MomLE,"Jan 17, 12:00 PM",-63.5,1228046.59,63.5,Loss,1.0:1.5
#7,Long,MomLE,"Jan 15, 09:30 AM",-63.5,1228046.5,63.5,Loss,1.0:1.5
#8,Short,MomLE,"Jan 15, 11:45 AM",105.5,1228152,19,Win,1.0:2.0
#9,Short,MomLE,"Jan 16, 02:20 PM",105.5,1228420,19,Win,1.0:2.0
#10,Long,MomLE,"Jan 16, 03:30 PM",268,1228420,13,Win,1.0:2.0
#11,Long,MomLE,"Jan 17, 10:15 AM",268,1228420,13,Win,1.0:2.0
#12,Short,MomLE,"Jan 17, 12:00 PM",655.5,1229075,6.5,Win,1.0:2.0
#13,Short,MomLE,"Jan 15, 09:30 AM",655.59,1229075.5,6.5,Win,1.0:2.0
#14,Long,MomLE,"Jan 15, 11:45 AM",288.59,1228787,288.5,Loss,1.0:1.5
#15,Long,MomLE,"Jan 16, 02:20 PM",-288.5,1228787,288.5,Loss,1.0:1.5
#16,Short,MomLE,"Jan 16, 03:30 PM",67.5,1228854.5,107,Win,1.0:2.0
#17,Short,MomLE,"Jan 17, 10:15 AM",67.5,1228854.5,107,Win,1.0:2.0
#18,Long,MomLE,"Jan 17, 12:00 PM",-251,1228603.5,251,Loss,1.0:1.5
#19,Long,MomLE,"Jan 15, 09:30 AM",-251,1228603.5,251,Loss,1.0:1.5
#20,Short,MomLE,"Jan 15, 11:45 AM",-188.5,1228415,188.5,Loss,1.0:1.5
#21,Short,MomLE,"Jan 16, 02:20 PM",-188.5,1228415,188.5,Loss,1.0:1.5
#22,Long,MomLE,"Jan 16, 03:30 PM",-76,1228339,76,Loss,1.0:1.5
#23,Long,MomLE,"Jan 17, 10:15 AM",-76,1228339,76,Loss,1.0:1.5
#24,Short,MomLE,"Jan 17, 12:00 PM",18,1228357,63,Win,1.0:2.0
